City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,78.85,clear sky,-23.1203,-134.9692,Pension Maro'i
8,Sambava,MG,78.71,light rain,-14.2667,50.1667,Melrose
10,Kavieng,PG,84.11,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
13,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
19,Avarua,CK,86,few clouds,-21.2078,-159.775,Paradise Inn
24,Atuona,PF,78.42,broken clouds,-9.8,-139.0333,Villa Enata
26,Rawson,AR,75.72,clear sky,-43.3002,-65.1023,Hosteria Sampedro
27,San Nicolas,PH,84.2,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
29,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
34,Daru,PG,84.11,overcast clouds,-9.0763,143.2092,Daru Lodge
60,Lorengau,PG,85.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Puerto Ayora,EC,75.99,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
68,Port Lincoln,AU,75.43,clear sky,-34.7333,135.8667,Port Lincoln Hotel
70,Hambantota,LK,79.12,broken clouds,6.1241,81.1185,Bungalow 63
77,Nicoya,CR,80.6,clear sky,10.1483,-85.452,Guayacan Real
80,Saint-Philippe,RE,82.4,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,Tevaitoa,PF,81.64,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
85,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
88,Armidale,AU,77,overcast clouds,-30.5167,151.65,Abbotsleigh Motor Inn
89,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
91,Upata,VE,75.99,broken clouds,8.0086,-62.3989,Posada Villa Nela
100,Geraldton,AU,87.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
104,Hithadhoo,MV,82.17,scattered clouds,-0.6,73.0833,Scoop Guest House
106,Launceston,AU,77,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
111,Kapit,MY,88.66,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
118,Ballina,AU,82.4,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
119,Carnarvon,AU,82.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
121,Kirakira,SB,85.01,broken clouds,-10.4544,161.9205,SanBiz Lodge
138,Baindur,IN,77.83,scattered clouds,13.8667,74.6333,Sai Vishram Beach Resort
140,Chavakachcheri,LK,79.77,broken clouds,9.6579,80.1643,Muslim hotel முஸ்லிம் ஹோட்டல்
141,Viedma,AR,87.01,clear sky,-40.8135,-62.9967,Hotel Cristal
