City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Le Portel,FR,50.7056,1.5757,44.6,70,75,5.75,broken clouds
1,Saskylakh,RU,71.9167,114.0833,-15.74,87,100,10.8,overcast clouds
2,Busselton,AU,-33.65,115.3333,91.0,40,0,3.0,clear sky
3,Delvada,IN,20.7667,71.0333,67.57,46,0,5.95,clear sky
4,Atar,MR,20.5169,-13.0499,62.51,24,86,11.74,overcast clouds
5,Massaranduba,BR,-7.2003,-35.7892,73.4,83,40,9.22,scattered clouds
6,Rikitea,PF,-23.1203,-134.9692,78.85,72,2,14.41,clear sky
7,Qaanaaq,GL,77.484,-69.3632,11.41,91,86,1.74,overcast clouds
8,Sambava,MG,-14.2667,50.1667,78.71,85,100,1.92,light rain
9,Hualmay,PE,-11.0964,-77.6139,70.11,83,68,7.49,broken clouds
10,Kavieng,PG,-2.5744,150.7967,84.11,62,96,6.49,overcast clouds
11,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,75,3.44,broken clouds
12,Kapaa,US,22.0752,-159.319,73.4,83,75,19.57,light rain
13,Georgetown,MY,5.4112,100.3354,84.2,65,20,5.75,few clouds
14,Los Alamos,US,35.8881,-106.307,37.4,52,1,5.75,clear sky
15,Lagoa,PT,39.05,-27.9833,58.69,73,100,11.7,overcast clouds
16,Norman Wells,CA,65.282,-126.8329,5.0,85,90,4.61,light snow
17,Fortuna,US,40.5982,-124.1573,46.4,93,75,6.55,broken clouds
18,Chokurdakh,RU,70.6333,147.9167,-42.0,81,44,5.95,scattered clouds
19,Avarua,CK,-21.2078,-159.775,86.0,70,20,4.61,few clouds
20,Minas,UY,-34.3759,-55.2377,69.8,88,0,10.36,clear sky
21,Arraial Do Cabo,BR,-22.9661,-42.0278,74.62,91,29,10.51,scattered clouds
22,Mount Isa,AU,-20.7333,139.5,93.2,46,88,13.8,overcast clouds
23,Dikson,RU,73.5069,80.5464,-26.28,83,3,6.06,clear sky
24,Atuona,PF,-9.8,-139.0333,78.42,78,57,14.07,broken clouds
25,Ushuaia,AR,-54.8,-68.3,46.4,81,75,25.32,light intensity drizzle
26,Rawson,AR,-43.3002,-65.1023,75.72,48,0,5.48,clear sky
27,San Nicolas,PH,18.1725,120.5953,84.2,79,75,4.61,broken clouds
28,Krasnouralsk,RU,58.3638,60.0407,-15.95,88,99,5.48,overcast clouds
29,Hilo,US,19.7297,-155.09,75.2,64,75,6.8,light rain
30,Ilulissat,GL,69.2167,-51.1,15.8,67,89,2.3,overcast clouds
31,Yellowknife,CA,62.456,-114.3525,-18.4,76,75,4.61,broken clouds
32,Bluff,NZ,-46.6,168.3333,62.01,80,79,7.0,moderate rain
33,Punta Arenas,CL,-53.15,-70.9167,46.4,71,90,19.57,overcast clouds
34,Daru,PG,-9.0763,143.2092,84.11,73,93,6.22,overcast clouds
35,Bredasdorp,ZA,-34.5322,20.0403,62.6,94,14,4.99,few clouds
36,Easthampton,US,42.2668,-72.669,32.0,64,90,4.61,overcast clouds
37,Saint-Francois,FR,46.4154,3.9054,51.01,71,0,12.66,clear sky
38,Bethel,US,41.3712,-73.414,30.99,74,90,4.07,overcast clouds
39,Hobart,AU,-42.8794,147.3294,72.0,37,75,17.27,broken clouds
40,Gorey,IE,52.6747,-6.2925,36.0,96,0,6.96,clear sky
41,Cape Town,ZA,-33.9258,18.4232,64.99,82,0,3.44,clear sky
42,Severo-Kurilsk,RU,50.6789,156.125,21.61,90,60,3.8,broken clouds
43,Havre-Saint-Pierre,CA,50.2334,-63.5986,-2.2,84,90,6.91,overcast clouds
44,Platanos,GR,37.6667,21.6167,53.6,87,75,4.61,light rain
45,Albany,US,42.6001,-73.9662,33.01,59,23,5.19,few clouds
46,Victoria,HK,22.2855,114.1577,71.01,77,90,1.01,overcast clouds
47,Henties Bay,NA,-22.116,14.2845,68.0,89,84,4.63,broken clouds
48,Longyearbyen,SJ,78.2186,15.6401,14.0,62,0,10.36,clear sky
49,Khatanga,RU,71.9667,102.5,-34.26,83,83,3.96,broken clouds
