City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,1/5/2021 21:40,14.8961,-24.4956,74.95,75,100,6.26
1,Hovd,MN,1/5/2021 21:40,48.0056,91.6419,-9.27,69,0,2.91
2,Buzmeyin,TM,1/5/2021 21:40,38.0507,58.2056,26.6,100,90,4.7
3,Micheweni,TZ,1/5/2021 21:40,-4.9667,39.8333,80.29,80,6,13.31
4,Hasaki,JP,1/5/2021 21:40,35.7333,140.8333,41,93,75,9.17
5,Hilo,US,1/5/2021 21:40,19.7297,-155.09,80.6,61,1,5.82
6,Severo-Kurilsk,RU,1/5/2021 21:40,50.6789,156.125,15.6,88,84,4
7,Cape Town,ZA,1/5/2021 21:38,-33.9258,18.4232,68,88,20,16.11
8,Kapaa,US,1/5/2021 21:40,22.0752,-159.319,80.6,69,75,13.87
9,East London,ZA,1/5/2021 21:40,-33.0153,27.9116,71.33,83,91,12.19
10,Port Elizabeth,ZA,1/5/2021 21:40,-33.918,25.5701,69.8,83,58,3.36
11,Atuona,PF,1/5/2021 21:40,-9.8,-139.0333,77.31,77,25,16.02
12,Vao,NC,1/5/2021 21:40,-22.6667,167.4833,77.77,82,100,22.97
13,Busselton,AU,1/5/2021 21:40,-33.65,115.3333,59,78,20,3
14,Hobart,AU,1/5/2021 21:36,-42.8794,147.3294,62.01,67,75,17.22
15,Dingle,PH,1/5/2021 21:40,10.9995,122.6711,74.41,91,87,7.67
16,Tuktoyaktuk,CA,1/5/2021 21:40,69.4541,-133.0374,-16.6,75,75,3.36
17,Barrow,US,1/5/2021 21:40,71.2906,-156.7887,-18.4,75,90,5.82
18,Valle De Allende,MX,1/5/2021 21:40,26.9333,-105.4,69.3,20,99,2.37
19,Pevek,RU,1/5/2021 21:40,69.7008,170.3133,-13.74,90,100,7.43
20,New Norfolk,AU,1/5/2021 21:40,-42.7826,147.0587,63,57,59,3
21,Mataura,NZ,1/5/2021 21:40,-46.1927,168.8643,65.61,59,63,4
22,Puerto Ayora,EC,1/5/2021 21:36,-0.7393,-90.3518,82.4,58,0,11.41
23,Mar Del Plata,AR,1/5/2021 21:39,-38.0023,-57.5575,69.01,88,90,16.11
24,Cherskiy,RU,1/5/2021 21:40,68.75,161.3,-20.29,87,100,10.94
25,Qaanaaq,GL,1/5/2021 21:40,77.484,-69.3632,2.5,81,100,6.58
26,Aykhal,RU,1/5/2021 21:40,66,111.5,-4,83,75,6.71
27,Camopi,GF,1/5/2021 21:40,3.1655,-52.3158,75.38,93,37,3.09
28,Mahebourg,MU,1/5/2021 21:40,-20.4081,57.7,77,83,40,5.82
29,Rikitea,PF,1/5/2021 21:40,-23.1203,-134.9692,77.02,76,0,13.06
30,Singaraja,ID,1/5/2021 21:40,-8.112,115.0882,80.19,75,100,4.59
31,Celestun,MX,1/5/2021 21:40,20.8667,-90.4,76.08,67,100,17.47
32,Airai,TL,1/5/2021 21:40,-8.9266,125.4092,62.15,100,100,0.87
33,Nantucket,US,1/5/2021 21:35,41.2835,-70.0995,39.2,93,90,20.8
34,Tuatapere,NZ,1/5/2021 21:40,-46.1333,167.6833,63.34,68,94,3.02
35,Yellowknife,CA,1/5/2021 21:36,62.456,-114.3525,-8,76,75,14.99
36,Sorland,NO,1/5/2021 21:40,67.667,12.6934,43.81,88,100,18.63
37,Padang,ID,1/5/2021 21:40,-0.9492,100.3543,75.2,94,40,2.24
38,Marsa Matruh,EG,1/5/2021 21:40,31.3525,27.2453,60.94,76,46,7.38
39,Punta Arenas,CL,1/5/2021 21:40,-53.15,-70.9167,60.8,44,75,25.28
40,Vaini,TO,1/5/2021 21:40,-21.2,-175.2,80.6,94,75,8.05
41,Kualakapuas,ID,1/5/2021 21:40,-3.0091,114.3876,75.2,100,90,4.7
42,Sao Jose Da Coroa Grande,BR,1/5/2021 21:40,-8.8978,-35.1478,78.37,71,23,7.58
43,Ushuaia,AR,1/5/2021 21:36,-54.8,-68.3,57.2,50,75,13.87
44,Bluff,NZ,1/5/2021 21:40,-46.6,168.3333,58.69,73,60,5.59
45,Hoopstad,ZA,1/5/2021 21:40,-27.8327,25.9083,66.99,89,94,7
46,Port Alfred,ZA,1/5/2021 21:40,-33.5906,26.891,70,90,92,9.01
47,Port Hueneme,US,1/5/2021 21:40,34.1478,-119.1951,66.99,72,20,6.93
48,Tsabong,BW,1/5/2021 21:40,-26.0217,22.401,77.16,61,62,5.66
49,Longyearbyen,SJ,1/5/2021 21:40,78.2186,15.6401,19.4,79,75,17.22
50,Khatanga,RU,1/5/2021 21:40,71.9667,102.5,-0.8,93,100,21.88
51,Deputatskiy,RU,1/5/2021 21:40,69.3,139.9,-26.46,84,0,5.93
52,Avarua,CK,1/5/2021 21:40,-21.2078,-159.775,82.4,78,49,14.99
53,Koslan,RU,1/5/2021 21:40,63.4564,48.8989,9.16,96,79,3.74
54,Surab,PK,1/5/2021 21:40,28.4914,66.2585,30.76,83,0,6.38
55,Gwanda,ZW,1/5/2021 21:40,-20.9333,29,73.81,63,14,4.7
56,Barkly West,ZA,1/5/2021 21:40,-28.5354,24.5215,64.4,93,72,14.99
57,Medicine Hat,CA,1/5/2021 21:36,50.0501,-110.6683,41,48,20,8.05
58,Butaritari,KI,1/5/2021 21:40,3.0707,172.7902,81.59,74,22,21.3
59,Faranah,GN,1/5/2021 21:40,10.0404,-10.7434,74.48,26,0,1.12
60,Provideniya,RU,1/5/2021 21:40,64.3833,-173.3,-2.29,83,0,9.13
61,Lavrentiya,RU,1/5/2021 21:40,65.5833,-171,-11.78,83,7,13.31
62,Naze,JP,1/5/2021 21:38,28.3667,129.4833,59,58,90,19.46
63,Springbok,ZA,1/5/2021 21:40,-29.6643,17.8865,59.9,82,12,4.07
64,Banjar,ID,1/5/2021 21:40,-8.19,114.9675,78.8,94,40,2.24
65,Pisco,PE,1/5/2021 21:40,-13.7,-76.2167,77,73,0,18.34
66,Cidreira,BR,1/5/2021 21:40,-30.1811,-50.2056,72.23,90,100,7.54
67,Tasiilaq,GL,1/5/2021 21:40,65.6145,-37.6368,21.2,48,40,25.28
68,Ishim,RU,1/5/2021 21:40,56.1128,69.4902,-10.16,88,99,8.57
69,Vila Franca Do Campo,PT,1/5/2021 21:40,37.7167,-25.4333,55.4,87,75,18.34
70,Nikolskoye,RU,1/5/2021 21:40,59.7035,30.7861,28.4,86,90,8.95
71,Albany,US,1/5/2021 21:38,42.6001,-73.9662,35.01,80,97,2.91
72,Ilhabela,BR,1/5/2021 21:40,-23.7781,-45.3581,76.3,81,34,7.65
73,Hermanus,ZA,1/5/2021 21:40,-34.4187,19.2345,61,91,2,2.17
74,Ambilobe,MG,1/5/2021 21:40,-13.2,49.05,74.44,89,72,2.01
75,Kotido,UG,1/5/2021 21:40,2.9806,34.1331,74.88,45,0,8.97
76,Baruun-Urt,MN,1/5/2021 21:40,46.6806,113.2792,-34.85,76,82,9.42
77,Tura,IN,1/5/2021 21:36,25.5198,90.2201,61.72,52,100,2.06
78,Lebu,CL,1/5/2021 21:40,-37.6167,-73.65,59.34,75,0,20.94
79,Kavaratti,IN,1/5/2021 21:40,10.5669,72.642,82.11,75,99,7.05
80,Carnarvon,AU,1/5/2021 21:40,-24.8667,113.6333,77,69,75,9.17
81,Auki,SB,1/5/2021 21:40,-8.7676,160.7034,84.18,62,99,3.31
82,Victoria,HK,1/5/2021 21:37,22.2855,114.1577,62.01,74,66,10.45
83,Takapau,NZ,1/5/2021 21:40,-40.0333,176.35,69.01,85,71,1.99
84,Kiunga,PG,1/5/2021 21:40,-6.1219,141.2906,75.33,96,94,2.84
85,Aranos,NA,1/5/2021 21:40,-24.1333,19.1167,77.97,54,90,2.01
86,Waipawa,NZ,1/5/2021 21:40,-41.4122,175.5153,69.01,88,100,8.05
87,Parkersburg,US,1/5/2021 21:37,39.2667,-81.5615,37.4,86,90,4.7
88,Troitskoye,RU,1/5/2021 21:40,52.9821,84.6757,-10.84,85,0,9.86
89,Shihezi,CN,1/5/2021 21:40,44.3,86.0333,-13.86,87,94,2.06
90,Thompson,CA,1/5/2021 21:40,55.7435,-97.8558,6.8,84,90,4.7
91,Tehachapi,US,1/5/2021 21:40,35.1322,-118.449,57.99,43,1,6.93
92,Port Lincoln,AU,1/5/2021 21:40,-34.7333,135.8667,60.15,68,100,16.71
